Symbol,Sector
INDIACEM,Basic Materials
INDIAMART,Communication Services
INDIANB,Financial Services
IEX,Financial Services
INDHOTEL,Consumer Cyclical
IOC,Energy
IOB,Financial Services
IRCTC,Consumer Cyclical
IRFC,Financial Services
IREDA,Financial Services
IGL,Utilities
INDUSTOWER,Communication Services
INDUSINDBK,Financial Services
NAUKRI,Communication Services
INFY,Technology
INOXWIND,Industrials
INTELLECT,Technology
INDIGO,Industrials
IGIL,Basic Materials
IKS,Healthcare
IPCALAB,Healthcare
JBCHEPHARM,Healthcare
JKCEMENT,Basic Materials
JBMA,Consumer Cyclical
JKTYRE,Consumer Cyclical
JMFINANCIL,Financial Services
JSWCEMENT,Basic Materials
JSWENERGY,Utilities
JSWINFRA,Industrials
JSWSTEEL,Basic Materials
JPPOWER,Utilities
J&KBANK,Financial Services
JINDALSAW,Basic Materials
JSL,Basic Materials
JINDALSTEL,Basic Materials
JIOFIN,Financial Services
JUBLFOOD,Consumer Cyclical
JUBLINGREA,Basic Materials
JUBLPHARMA,Healthcare
JWL,Industrials
JYOTHYLAB,Consumer Defensive
JYOTICNC,Industrials
KPRMILL,Consumer Cyclical
KEI,Industrials
KPITTECH,Technology
KSB,Industrials
KAJARIACER,Industrials
KPIL,Industrials
KALYANKJIL,Consumer Cyclical
KARURVYSYA,Financial Services
KAYNES,Technology
KEC,Industrials
KFINTECH,Technology
KIRLOSBROS,Industrials
KIRLOSENG,Industrials
KOTAKBANK,Financial Services
KIMS,Healthcare
LTF,Financial Services
LTTS,Technology
LICHSGFIN,Financial Services
LTFOODS,Consumer Defensive
LTM,Technology
LT,Industrials
LATENTVIEW,Industrials
LAURUSLABS,Healthcare
THELEELA,Consumer Cyclical
LEMONTREE,Consumer Cyclical
LICI,Financial Services
LINDEINDIA,Basic Materials
LLOYDSME,Basic Materials
LODHA,Real Estate
LUPIN,Healthcare
MMTC,Industrials
MRF,Consumer Cyclical
MGL,Utilities
MAHSCOOTER,Financial Services
MAHSEAMLES,Basic Materials
M&MFIN,Financial Services
M&M,Consumer Cyclical
MANAPPURAM,Financial Services
MRPL,Energy
MANKIND,Healthcare
MARICO,Consumer Defensive
MARUTI,Consumer Cyclical
MFSL,Financial Services
MAXHEALTH,Healthcare
MAZDOCK,Industrials
METROPOLIS,Healthcare
MINDACORP,Consumer Cyclical
MSUMI,Consumer Cyclical
MOTILALOFS,Financial Services
MPHASIS,Technology
MCX,Financial Services
MUTHOOTFIN,Financial Services
NATCOPHARM,Healthcare
NBCC,Industrials
NCC,Industrials
NHPC,Utilities
NLCINDIA,Utilities
NMDC,Basic Materials
NSLNISP,Basic Materials
NTPCGREEN,Utilities
NTPC,Utilities
NH,Healthcare
NATIONALUM,Basic Materials
NAVA,Industrials
NAVINFLUOR,Basic Materials
NESTLEIND,Consumer Defensive
NETWEB,Technology
NEULANDLAB,Healthcare
NEWGEN,Technology
NAM-INDIA,Financial Services
NIVABUPA,Financial Services
NUVAMA,Financial Services
NUVOCO,Basic Materials
OBEROIRLTY,Real Estate
ONGC,Energy
OIL,Energy
OLAELEC,Consumer Cyclical
OLECTRA,Industrials
PAYTM,Technology
ONESOURCE,Healthcare
OFSS,Technology
POLICYBZR,Financial Services
PCBL,Basic Materials
PGEL,Technology
PIIND,Basic Materials
PNBHOUSING,Financial Services
PTCIL,Industrials
PVRINOX,Communication Services
PAGEIND,Consumer Cyclical
PATANJALI,Consumer Defensive
PERSISTENT,Technology
PETRONET,Energy
PFIZER,Healthcare
PHOENIXLTD,Real Estate
PIDILITIND,Basic Materials
PPLPHARMA,Healthcare
POLYMED,Healthcare
POLYCAB,Industrials
POONAWALLA,Financial Services
PFC,Financial Services
POWERGRID,Utilities
PRAJIND,Industrials
PREMIERENE,Technology
PRESTIGE,Real Estate
PGHH,Consumer Defensive
PNB,Financial Services
RRKABEL,Industrials
RBLBANK,Financial Services
RECLTD,Financial Services
RHIM,Industrials
RITES,Industrials
RADICO,Consumer Defensive
RVNL,Industrials
RAILTEL,Communication Services
RAINBOW,Healthcare
RKFORGE,Industrials
RCF,Basic Materials
REDINGTON,Technology
RELIANCE,Energy
RELINFRA,Utilities
RPOWER,Utilities
SBFC,Financial Services
SBICARD,Financial Services
SBILIFE,Financial Services
SJVN,Utilities
SRF,Industrials
SAGILITY,Healthcare
SAILIFE,Healthcare
SAMMAANCAP,Financial Services
MOTHERSON,Consumer Cyclical
SAPPHIRE,Consumer Cyclical
SARDAEN,Basic Materials
SAREGAMA,Communication Services
SCHAEFFLER,Consumer Cyclical
SCHNEIDER,Industrials
SCI,Industrials
SHREECEM,Basic Materials
SHRIRAMFIN,Financial Services
SHYAMMETL,Basic Materials
ENRIN,Utilities
SIEMENS,Industrials
SIGNATURE,Real Estate
SOBHA,Real Estate
SOLARINDS,Basic Materials
SONACOMS,Consumer Cyclical
SONATSOFTW,Technology
STARHEALTH,Financial Services
SBIN,Financial Services
SAIL,Basic Materials
SUMICHEM,Basic Materials
SUNPHARMA,Healthcare
SUNTV,Communication Services
SUNDARMFIN,Financial Services
SUNDRMFAST,Consumer Cyclical
SUPREMEIND,Industrials
SUZLON,Industrials
SWANCORP,Industrials
SWIGGY,Consumer Cyclical
SYNGENE,Healthcare
SYRMA,Technology
TBOTEK,Consumer Cyclical
TVSMOTOR,Consumer Cyclical
TATACHEM,Basic Materials
TATACOMM,Communication Services
TCS,Technology
TATACONSUM,Consumer Defensive
TATAELXSI,Technology
TATAINVEST,Financial Services
TMPV,Consumer Cyclical
TATAPOWER,Utilities
TATASTEEL,Basic Materials
TATATECH,Technology
TTML,Communication Services
TECHM,Technology
TECHNOE,Industrials
TEJASNET,Technology
NIACL,Financial Services
RAMCOCEM,Basic Materials
THERMAX,Industrials
TIMKEN,Industrials
TITAGARH,Industrials
TITAN,Consumer Cyclical
TORNTPHARM,Healthcare
TORNTPOWER,Utilities
TARIL,Industrials
TRENT,Consumer Cyclical
TRIDENT,Consumer Cyclical
TRIVENI,Consumer Defensive
TRITURBINE,Industrials
TIINDIA,Industrials
UCOBANK,Financial Services
UNOMINDA,Consumer Cyclical
UPL,Basic Materials
UTIAMC,Financial Services
ULTRACEMCO,Basic Materials
UNIONBANK,Financial Services
UBL,Consumer Defensive
UNITDSPR,Consumer Defensive
USHAMART,Basic Materials
VGUARD,Industrials
DBREALTY,Real Estate
